"NYAMBE TEBUHO  - M ,PF",594,18.97%,10.21%,,,,,
,,,,107,3.42%,"3,132","5,818",54%
WARD: 000109005009 SEKUTE,,,,,,,,
"SIMULINDA JOHN  - M ,UPND",903,71.27%,48.03%,,,,,
"INAMBAO KAMWI  - M ,PF",326,25.73%,17.34%,,,,,
,,,,38,3.00%,"1,267","1,880",67%
WARD: 000109005010 KANCHELE,,,,,,,,
"SIANSUNDI OSWARD  - M ,UPND","2,166",80.10%,55.06%,,,,,
"MULOONGO AUBRAIN  - M ,PF",383,14.16%,9.74%,,,,,
,,,,155,5.73%,"2,704","3,934",69%
WARD: 000109005011 SIMANGO,,,,,,,,
"SIAKASIMBO RICHARD  - M ,UPND","2,616",92.90%,68.04%,,,,,
"SIAMULONGA VICTOR  - M ,PF",97,3.44%,2.52%,,,,,
,,,,103,3.66%,"2,816","3,845",73%
WARD: 000109005012 MUSOKOTWANE,,,,,,,,
"MWILELI EVANS C - M ,UPND","1,833",82.90%,49.09%,,,,,
"MWANANEMBO EUSIAS M - M ,PF",278,12.57%,7.45%,,,,,
,,,,100,4.52%,"2,211","3,734",59%
WARD: 000109005013 KATAPAZI,,,,,,,,
"MWILU RACHEL  - F ,UPND","1,698",81.79%,64.96%,,,,,
"NGWENYA JULIA  - F ,PF",299,14.40%,11.44%,,,,,
,,,,79,3.81%,"2,076","2,614",79%
WARD: 000109005014 MUKUNI,,,,,,,,
"MABOTE MITULU  - M ,IND","1,717",49.20%,34.65%,,,,,
"MUSHABATI MARTIN  - M ,UPND","1,458",41.78%,29.42%,,,,,
"MUBITA ILUBA  - M ,PF",202,5.79% 4.08%,,,,,,
,,,113,3.24%,,"3,490","4,955",70%
,,"01090127 ,LIVINGSTONE CONSTITUENCY",,,,,,
WARD: 000109006001 FREEDOM,,,,,,,,
"MUTEBA OWEN  - M ,UPND","2,413",63.20% 33.69%,,,,,,
"PALATA KALIMBWE  - M ,PF","1,358",35.57% 18.96%,,,,,,
,,,47,1.23%,,"3,818","7,162",53%
WARD: 000109006002 MUSI-OA-TUNYA,,,,,,,,
"SIKOBELA SIKOBELA  - M ,UPND","1,228",56.49% 32.44%,,,,,,
"CHOMBA EDDIE  - M ,PF",932,42.87% 24.62%,,,,,,
,,,14,0.64%,,"2,174","3,785",57%
WARD: 000109006003 DR. MUBITANA,,,,,,,,
"ILUKI MILLER  - M ,UPND",993,48.99% 30.25%,,,,,,
"MULENGA DAVIES C C - M ,PF",666,32.86% 20.29%,,,,,,
"SAKUNDA LEE  - M ,RAINBOW",330,16.28% 10.05%,,,,,,
,,,38,1.87%,,"2,027","3,283",62%
WARD: 000109006004 NAMATAMA,,,,,,,,
"MAAMBO KELVIN  - M ,UPND","3,463",70.80% 49.68%,,,,,,
"MALAMBO VIANNY H - M ,PF","1,287",26.31% 18.46%,,,,,,
"CHENGA BRIAN  - M ,RAINBOW",67,1.37% 0.96%,,,,,,
,,,74,1.51%,,"4,891","6,971",70%
WARD: 000109006005 KASIYA,,,,,,,,
"MULAYE PETER  - M ,UPND","2,118",66.33% 42.12%,,,,,,
"PHIRI MOSES  - M ,PF",969,30.35% 19.27%,,,,,,
,,,106,3.32%,,"3,193","5,028",64%
WARD: 000109006006 LIBUYU,,,,,,,,
"LICHAHA ISAAC M - M ,UPND","2,134",66.15% 41.50%,,,,,,
"TEMBO CLEMENT  - M ,PF",736,22.81% 14.31%,,,,,,
"PHIRI DANNIEL  - M ,UNIP",326,10.11% 6.34%,,,,,,
,,,30,0.93%,,"3,226","5,142",63%
WARD: 000109006007 MWALIBONENA,,,,,,,,
"ILYAMUPU MWIYA E - M ,UPND","1,540",57.16% 32.74%,,,,,,
"SIFAYA ERRY  - M ,PF",916,34.00% 19.47%,,,,,,
"SAKALA EVANS  - M ,RAINBOW",206,7.65% 4.38%,,,,,,
,,,32,1.19%,,"2,694","4,704",57%
WARD: 000109006008 MULUNGUSHI,,,,,,,,
"LILEMA JOHN  - M ,UPND","1,265",53.00% 32.54%,,,,,,
"ZIWA ZIWA  - M ,PF",994,41.64% 25.57%,,,,,,
"KASANDA MOSES  - M ,RAINBOW",90,3.77% 2.32%,,,,,,
,,,38,1.59%,,"2,387","3,887",61%
WARD: 000109006009 MARAMBA,,,,,,,,
"SIMBAYA MOSES  - M ,UPND","1,951",59.01% 36.29%,,,,,,
"BANDA MOSES K - M ,PF","1,288",38.96%,23.96%,,,,,
,,,,67,2.03%,"3,306","5,376",61%
WARD: 000109006010 AKAPELWA,,,,,,,,
"BBALO MARGRET C M - F ,UPND","1,708",53.81%,32.49%,,,,,
"CHILUFYA MWEWA  - M ,PF","1,404",44.23%,26.71%,,,,,
"MUBANGA CLIFFORD  - M ,UNIP",39,1.23%,0.74%,,,,,
,,,,23,0.72%,"3,174","5,257",60%
WARD: 000109006011 LIZUMA,,,,,,,,
"CHIBAMBA GRANDWELL  - M ,UPND",752,51.61%,31.20%,,,,,
"BUKOLO EMMANUEL  - M ,PF",592,40.63%,24.56%,,,,,
"MUDENDA HAPPY  - M ,UNIP",59,4.05%,2.45%,,,,,
"SHOBA GEORGE  - M ,RAINBOW",39,2.68%,1.62%,,,,,
,,,,15,1.03%,"1,457","2,410",60%
WARD: 000109006012 SIMONGA,,,,,,,,
"MUNYAMA PETER  - M ,UPND","2,947",72.11%,40.69%,,,,,
"MUSOBANI NACHANGU  - F ,PF",905,22.14%,12.50%,,,,,
"MUZUMI NAMANGOLWA  - F ,MMD",139,3.40%,1.92%,,,,,
,,,,96,2.35%,"4,087","7,242",56%
WARD: 000109006013 DAMBWA CENTRAL,,,,,,,,
"BOTHA FELIX  - M ,UPND","1,993",63.03%,40.01%,,,,,
"CHISANGA DENNIS  - M ,PF","1,018",32.19%,20.44%,,,,,
"MUZAZA TREVOR  - M ,RAINBOW",84,2.66%,1.69%,,,,,
,,,,67,2.12%,"3,162","4,981",63%
WARD: 000109006014 ZAMBEZI,,,,,,,,
"WANDILA ROBERT  - M ,UPND","2,902",65.01%,31.73%,,,,,
"BWALYA VICTOR  - M ,PF","1,354",30.33%,14.80%,,,,,
"MUTALE MARTIN  - M ,RAINBOW",104,2.33%,1.14%,,,,,
,,,,104,2.33%,"4,464","9,146",49%
WARD: 000109006015 KARIBA,,,,,,,,
"CHILESHE ROBERT  - M ,PF",711,43.35%,25.37%,,,,,
"SINYAMA ELVIS  - M ,UPND",690,42.07%,24.62%,,,,,
"MALILWE MARIA  - F ,MMD",131,7.99%,4.67%,,,,,
"MUSAKANYA ALBINAH  - M ,UNIP",76,4.63%,2.71%,,,,,
,,,,32,1.95%,"1,640","2,803",59%
WARD: 000109006016 NANSANZU,,,,,,,,
"NYAMBE SAKUBIWA  - M ,UPND","1,165",47.01%,28.12%,,,,,
"KALINDIMA FRANK  - M ,IND",913,36.84%,22.04%,,,,,
"KALALAMBILI CHRISPIN  - M ,PF",360,14.53%,8.69%,,,,,
,,,,40,1.61%,"2,478","4,143",60%
WARD: 000109006017 SHUNGU,,,,,,,,
"SIMANGO FRANCIS  - M ,UPND",765,49.87%,27.43%,,,,,
"SIMASINTI SIMASINTI  - M ,IND",392,25.55%,14.06%,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"KABINDO GRACE  - F ,PF",240,15.65% 8.61%,,,,,,
"MUTALE KENNEDY M - M ,RAINBOW",99,6.45% 3.55%,,,,,,
,,,38,,2.48%,"1,534","2,789",55%
,,"01090128 ,MAGOYE CONSTITUENCY",,,,,,
WARD: 000109007001 NKONKOLA,,,,,,,,
"KAMOCHA AUGUSTINE  - M ,UPND","1,680",85.93% 51.45%,,,,,,
"MUKOBELA CLAY  - M ,PF",170,8.70% 5.21%,,,,,,
,,,105,,5.37%,"1,955","3,265",60%
WARD: 000109007002 CHIVUNA,,,,,,,,
"CHEELO EDMUND C - M ,UPND","4,373",89.89% 63.40%,,,,,,
"MWANZA JOHN F - M ,PF",298,6.13% 4.32%,,,,,,
,,,194,,3.99%,"4,865","6,897",71%
WARD: 000109007003 MUSUMA,,,,,,,,
"LUMAMBA EVANS  - M ,IND","1,083",55.80% 40.28%,,,,,,
"NGOMA LEARNED  - M ,UPND",724,37.30% 26.92%,,,,,,
"MBOOZI WILMOT  - M ,PF",74,3.81% 2.75%,,,,,,
,,,60,,3.09%,"1,941","2,689",72%
WARD: 000109007004 MUNJILE,,,,,,,,
"NAKUWEZA JUSTIN  - M ,UPND","1,084",77.71% 55.00%,,,,,,
"ZIMBA GILBERT  - M ,FDD",179,12.83% 9.08%,,,,,,
"KABANJE COSTAIN  - M ,PF",99,7.10% 5.02%,,,,,,
,,,33,,2.37%,"1,395","1,971",71%
WARD: 000109007005 NGWEZI,,,,,,,,
"MWIINGA SAUL  - M ,UPND","2,109",84.29% 56.17%,,,,,,
"MUTULA GILBERT  - M ,PF",314,12.55% 8.36%,,,,,,
,,,79,,3.16%,"2,502","3,755",67%
WARD: 000109007006 NACHIPOOMA,,,,,,,,
"MULEYA KELVIN  - M ,UPND","2,376",87.03% 61.70%,,,,,,
"SILUNGWE MAYBIN  - M ,PF",243,8.90% 6.31%,,,,,,
"MULEYA ROBSON  - M ,FDD",43,1.58% 1.12%,,,,,,
,,,68,,2.49%,"2,730","3,851",71%
WARD: 000109007007 MWANACHINGWALA,,,,,,,,
"MUNYAKA CHEMIST  - M ,UPND","1,997",87.59% 60.39%,,,,,,
"MICHELO BIG  - M ,PF",213,9.34% 6.44%,,,,,,
,,,70,,3.07%,"2,280","3,307",69%
WARD: 000109007008 MUNENGA,,,,,,,,
"MWEEMBA EMMERSON K - M ,UPND","1,872",85.40% 52.67%,,,,,,
"MAABWE EVANS  - M ,PF",201,9.17% 5.66%,,,,,,
,,,119,,5.43%,"2,192","3,554",62%
WARD: 000109007009 KALAMA,,,,,,,,
"CHIIYA CHIPO  - M ,UPND","1,707",91.77% 66.91%,,,,,,
"SIAJUNZA PROGRESS H - M ,PF",121,6.51% 4.74%,,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,32,1.72%,,"1,860","2,551",73%
WARD: 000109007010 ITEBE,,,,,,,,
"LWIINDI PHANUEL C - M ,UPND",931 82.76%,56.15%,,,,,,
"MWIINGA FREDRICK  - M ,PF",176 15.64%,10.62%,,,,,,
,,,18,1.60%,,"1,125","1,658",68%
,"01090129 ,MAZABUKA CENTRAL CONSTITUENCY",,,,,,,
WARD: 000109007011 MAZABUKA CENTRAL,,,,,,,,
"HAMANGABA CHRISPINE  - M ,UPND","12,427 79.34%",52.29%,,,,,,
"KAMPAMBA FRED  - M ,PF","2,882 18.40%",12.13%,,,,,,
,,,354,2.26%,,"15,663","23,767",66%
WARD: 000109007012 KALEYA WEST,,,,,,,,
"CHIZYUKA BRIVEN  - M ,UPND","3,751 84.69%",61.01%,,,,,,
"HAMATIMBA BRYDEN M - M ,PF",620 14.00%,10.08%,,,,,,
,,,58,1.31%,,"4,429","6,148",72%
WARD: 000109007013 CHIZOBO,,,,,,,,
"HABEENZU SEVERINO  - M ,UPND",605 65.41%,42.31%,,,,,,
"HAMWENDA MORVEN  - M ,IND",261 28.22%,18.25%,,,,,,
"SINYANGWE MULOTWA  - M ,PF",35 3.78%,2.45%,,,,,,
,,,24,2.59%,,925,"1,430",65%
WARD: 000109007014 KAONGA,,,,,,,,
"SICHONE MASAUSO  - M ,UPND","2,597 76.38%",46.23%,,,,,,
"MUTOLWA MABVUTO  - M ,PF",750 22.06%,13.35%,,,,,,
,,,53,1.56%,,"3,400","5,617",61%
WARD: 000109007015 NAKAMBALA,,,,,,,,
"MULEYA KELVIN  - M ,UPND","3,889 73.85%",46.14%,,,,,,
"HAMILIMO HARMONY  - M ,PF","1,303 24.74%",15.46%,,,,,,
,,,74,1.41%,,"5,266","8,428",62%
WARD: 000109007016 NEGA NEGA,,,,,,,,
"SICHIKATA EVANS  - M ,UPND","1,121 68.10%",25.68%,,,,,,
"NOWANGA SAMUTUMWA  - M ,PF",501 30.44%,11.48%,,,,,,
,,,24,1.46%,,"1,646","4,365",38%
WARD: 000109007017 LUBOMBO,,,,,,,,
"LUBOMBO TRUST  - M ,UPND","2,782 78.61%",51.87%,,,,,,
"WAMUNYIMA MUSIWA  - M ,PF",523 14.78%,9.75%,,,,,,
"BANDA EMMANUEL  - M ,FDD",142 4.01%,2.65%,,,,,,
,,,92,2.60%,,"3,539","5,363",66%
WARD: 000109007018 MUGOTO,,,,,,,,
"CHIYOBWA LYBRAND  - M ,UPND","1,310 78.12%",51.78%,,,,,,
"CHIMUKA TILO  - M ,PF",170 10.14%,6.72%,,,,,,
"CHILALA RAWLINGS  - M ,FDD",166 9.90%,6.56%,,,,,,
,,,31,1.85%,,"1,677","2,530",66%
,"01090130 ,BWEENGWA CONSTITUENCY",,,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000109008001 MALUNDU,,,,,,,,
"MWENDA DEBNET  - M ,UPND","5,014 100.00%",100.00%,,,,,,
,,,0,0.00%,,"5,014","5,014",100%
WARD: 000109008002 KAILA,,,,,,,,
"MUKAMBALA MWAANGO  - M ,UPND","2,896 92.08%",68.29%,,,,,,
"MWEEMBA OBEYS  - M ,PF",180 5.72%,4.24%,,,,,,
"MUNANG'ONGWE PENSON H - M ,IND",38 1.21%,0.90%,,,,,,
,,,31,0.99%,,"3,145","4,241",74%
WARD: 000109008003 KEEMBA,,,,,,,,
"MAINZA RECENT  - M ,UPND","2,776 91.05%",67.43%,,,,,,
"MWIINGA OBVIOUS  - M ,PF",190 6.23%,4.62%,,,,,,
"HAMUDUDU MANINGA  - M ,RAINBOW",36 1.18%,0.87%,,,,,,
,,,47,1.54%,,"3,049","4,117",74%
WARD: 000109008004 CHOONGO EAST,,,,,,,,
"SIMAUNDU KELVIN  - M ,UPND","2,457 59.99%",46.66%,,,,,,
"NG'ANDU EDWARD L - M ,IND","1,456 35.55%",27.65%,,,,,,
"CHOONGO CORN  - M ,PF",77 1.88%,1.46%,,,,,,
,,,106,2.59%,,"4,096","5,266",78%
WARD: 000109008005 CHOONGO WEST,,,,,,,,
"NAMAKOBO NAMAKOBO P - M ,UPND","2,917 100.00%",100.00%,,,,,,
,,,0,0.00%,,"2,917","2,917",100%
WARD: 000109008006 BWEENGWA,,,,,,,,
"CHIYABI ACKSON  - M ,UPND","3,274 97.09%",72.89%,,,,,,
"MWENDA LOOBWE  - M ,PF",51 1.51%,1.14%,,,,,,
,,,47,1.39%,,"3,372","4,492",75%
WARD: 000109008007 HAMANGABA,,,,,,,,
"MUDENDA MAYBIN  - M ,UPND","2,534 100.00%",100.00%,,,,,,
,,,0,0.00%,,"2,534","2,534",100%
,"01090131 ,MONZE CENTRAL CONSTITUENCY",,,,,,,
WARD: 000109008008 KATIMBA,,,,,,,,
"HICHIBALA NEPHAS  - M ,UPND","2,470 96.60%",78.69%,,,,,,
"MOOBOLA ARTHUR H - M ,FDD",24 0.94%,0.76%,,,,,,
"CHONGO DANNY  - M ,PF",20 0.78%,0.64%,,,,,,
,,,43,1.68%,,"2,557","3,139",81%
WARD: 000109008009 BBOMBO,,,,,,,,
"MOONGA RODGER C H - M ,UPND","1,850 96.91%",77.24%,,,,,,
"HAMUMBWE LAWRENCE  - M ,FDD",37 1.94%,1.54%,,,,,,
,,,22,1.15%,,"1,909","2,395",80%
WARD: 000109008010 HANTOTOLA,,,,,,,,
"HAMBIZYI WINNER  - M ,UPND","3,090 90.64%",67.63%,,,,,,
"TWAAMBO TEST  - M ,PF",130 3.81%,2.85%,,,,,,
"CHIZELA CHARLES  - M ,FDD",126 3.70%,2.76%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,63,,1.85%,"3,409","4,569",75%
WARD: 000109008011 HAMAMVWA,,,,,,,,
"CHIMBWE COSWEL  - M ,UPND","2,290",90.30% 73.75%,,,,,,
"MOONGA HAMANVWA D - M ,PF",145,5.72% 4.67%,,,,,,
,,,101,,3.98%,"2,536","3,105",82%
WARD: 000109008012 HUFWA/HAMAPANDE,,,,,,,,
"CHAAVA BRIGHT  - M ,UPND","1,652",62.18% 49.34%,,,,,,
"MAINZA VICTOR  - M ,IND",849,31.95% 25.36%,,,,,,
"CHIILA MILARD  - M ,RAINBOW",49,1.84% 1.46%,,,,,,
"MAYUNI FILTER  - F ,FDD",28,1.05% 0.84%,,,,,,
"MULOPE ROYCE  - F ,PF",18,0.68% 0.54%,,,,,,
,,,61,,2.30%,"2,657","3,348",79%
WARD: 000109008013 MAYABA,,,,,,,,
"NKEETE ALFRED  - M ,UPND","2,308",85.04% 64.36%,,,,,,
"CHISONGA FIELD  - M ,PF",260,9.58% 7.25%,,,,,,
"MOONGA PHINIOUS  - M ,FDD",68,2.51% 1.90%,,,,,,
"NYAMBE DAVIES  - M ,RAINBOW",18,0.66% 0.50%,,,,,,
,,,60,,2.21%,"2,714","3,586",76%
WARD: 000109008014 MONZE URBAN,,,,,,,,
"PANDWE BUUMBA  - M ,UPND","6,527",80.70% 51.82%,,,,,,
"BANDA LEMMY  - M ,PF","1,316",16.27% 10.45%,,,,,,
"SIKAPUTA VINCENT M - M ,RAINBOW",48,0.59% 0.38%,,,,,,
,,,197,,2.44%,"8,088","12,595",64%
WARD: 000109008015 MANUNGU,,,,,,,,
"BWAANGA CHRIS  - M ,UPND","5,100",85.04% 59.74%,,,,,,
"FUNDI MATHIAS  - M ,PF",510,8.50% 5.97%,,,,,,
"MOOMBA TERRY  - M ,FDD",192,3.20% 2.25%,,,,,,
,,,195,,3.25%,"5,997","8,537",70%
WARD: 000109008016 CHISEKESI,,,,,,,,
"SICHOONGA ALDUS  - M ,UPND","3,704",88.34% 64.98%,,,,,,
"MAKALA LUCY  - F ,PF",415,9.90% 7.28%,,,,,,
,,,74,,1.76%,"4,193","5,700",74%
WARD: 000109008017 UFWENUKA,,,,,,,,
"HAMUCHENKWA KIZITO  - M ,UPND","6,496",100.00% 100.00%,,,,,,
,,,0,,0.00%,"6,496","6,496",100%
WARD: 000109008018 CHIPEMBELE,,,,,,,,
"HANGALA BORNFACE  - M ,UPND","3,119",87.10% 70.14%,,,,,,
"HAAMONZE WEBSTER  - M ,PF",384,10.72% 8.64%,,,,,,
,,,78,,2.18%,"3,581","4,447",81%
,,"01090132 ,MOOMBA CONSTITUENCY",,,,,,
WARD: 000109008019 CHONA,,,,,,,,
"MUNADIMBWE GOODFELLOW  - M ,UPND","3,103",72.67% 56.72%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MUTINTA MACDONALD  - M ,FDD",800,18.74% 14.62%,,,,,,
"NAMUKAMBA MAURICE M - M ,PF",248,5.81% 4.53%,,,,,,
,,,119,,2.79%,"4,270","5,471",78%
WARD: 000109008020 MWANZA WEST,,,,,,,,
"HAAMAKALA CLEMENT  - M ,UPND","3,968",93.30% 68.86%,,,,,,
"MOONGA MAURICE  - M ,RAINBOW",107,2.52% 1.86%,,,,,,
"GWABA WESLEY  - M ,PF",91,2.14% 1.58%,,,,,,
,,,87,,2.05%,"4,253","5,762",74%
WARD: 000109008021 MWANZA EAST,,,,,,,,
"MATOBO BRIDGET  - F ,UPND","3,093",92.58% 69.49%,,,,,,
"CHAMBWA BORNFACE  - M ,PF",161,4.82% 3.62%,,,,,,
,,,87,,2.60%,"3,341","4,451",75%
WARD: 000109008022 MOOMBA,,,,,,,,
"HAAMBULO SEBASTIAN  - M ,UPND","1,358",71.59% 54.58%,,,,,,
"SIMWEENE GABRIEL  - M ,FDD",495,26.09% 19.90%,,,,,,
,,,44,,2.32%,"1,897","2,488",76%
,,"01090133 ,NAMWALA CONSTITUENCY",,,,,,
WARD: 000109009001 NAMWALA CENTRAL,,,,,,,,
"SITALI JEFF  - M ,UPND","2,949",80.31% 48.11%,,,,,,
"MATAMWANDI DAVIES  - M ,PF",516,14.05% 8.42%,,,,,,
"LUTANGU MUHAU  - M ,FDD",108,2.94% 1.76%,,,,,,
,,,99,,2.70%,"3,672","6,130",60%
WARD: 000109009002 NGABO,,,,,,,,
"SHAMATANGA WEBBY  - M ,UPND","1,006",76.85% 60.20%,,,,,,
"NDEKE PROSPER  - M ,PF",238,18.18% 14.24%,,,,,,
"NTANTAALA JOHN  - M ,FDD",35,2.67% 2.09%,,,,,,
,,,30,,2.29%,"1,309","1,671",78%
WARD: 000109009003 BAAMBWE,,,,,,,,
"SILUME TABANI  - M ,UPND","1,438",88.06% 63.80%,,,,,,
"NAWA BEATWELL  - M ,PF",108,6.61% 4.79%,,,,,,
"KASANGA NICKY  - M ,FDD",67,4.10% 2.97%,,,,,,
,,,20,,1.22%,"1,633","2,254",72%
WARD: 000109009004 MAALA,,,,,,,,
"SHIMANI CHARLES  - M ,UPND","1,620",77.62% 53.45%,,,,,,
"MUSHOBWE SPECIAL  - M ,PF",295,14.14% 9.73%,,,,,,
"KASANGA TARICK  - M ,FDD",127,6.09% 4.19%,,,,,,
,,,45,,2.16%,"2,087","3,031",69%
WARD: 000109009005 KANTENGWA,,,,,,,,
"CHIPAZYI SEBASTIAN  - M ,UPND","1,557",92.57% 67.43%,,,,,,
"MUUKA MACHANGANI  - M ,PF",59,3.51% 2.56%,,,,,,
"NGALA RAPHAEL  - M ,FDD",44,2.62% 1.91%,,,,,,
,,,22,,1.31%,"1,682","2,309",73%
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000109009006 KABULAMWANDA,,,,,,,,
"MUSHOBWE DAVID  - M ,UPND","1,885",59.33% 41.53%,,,,,,
"KAPASA DANFORD  - M ,IND",590,18.57% 13.00%,,,,,,
"SIWALA CLINT  - M ,FDD",457,14.38% 10.07%,,,,,,
"NAMANTEMBA ASTRIDAH  - F ,PF",119,3.75% 2.62%,,,,,,
,,,126,,3.97%,"3,177","4,539",70%
WARD: 000109009007 CHITONGO,,,,,,,,
"HACHIBOLOMA KAPOMA  - M ,UPND","2,458",91.55% 67.64%,,,,,,
"MWANGO MOSES  - M ,PF",141,5.25% 3.88%,,,,,,
"KAACHA GOLDEN  - M ,FDD",38,1.42% 1.05%,,,,,,
,,,48,,1.79%,"2,685","3,634",74%
WARD: 000109009009 NAKAMBOMA,,,,,,,,
"MUNDIA STEPHEN  - M ,UPND","2,060",92.88% 67.34%,,,,,,
"CHAAMBWA NACHAYA  - F ,FDD",100,4.51% 3.27%,,,,,,
,,,58,,2.61%,"2,218","3,059",73%
WARD: 000109009010 MBEZA,,,,,,,,
"CHIINZA HAMANKULI  - M ,UPND","1,692",89.43% 67.87%,,,,,,
"MUNAMALUMBE CHIBOOLA C - M ,PF",175,9.25% 7.02%,,,,,,
,,,25,,1.32%,"1,892","2,493",76%
WARD: 000109009011 NDEMA,,,,,,,,
"HINDAMU PERSHIA  - M ,UPND","3,108",90.88% 69.83%,,,,,,
"HIMOOYA DOUBT  - M ,FDD",146,4.27% 3.28%,,,,,,
"SIAMUBILA ALTONE  - M ,PF",95,2.78% 2.13%,,,,,,
,,,71,,2.08%,"3,420","4,451",77%
WARD: 000109009013 ITAPA,,,,,,,,
"MALAMBO JUSTINE  - M ,UPND","1,488",95.51% 36.50%,,,,,,
"MASAKA WILFRED H - M ,FDD",30,1.93% 0.74%,,,,,,
,,,40,,2.57%,"1,558","4,077",38%
WARD: 000109009014 MOOBOLA,,,,,,,,
"MUCHAILE BORNWELL C - M ,UPND","2,975",84.30% 64.34%,,,,,,
"MUKUMBWALI WEFTY  - M ,PF",300,8.50% 6.49%,,,,,,
"MAKONDO HIMOONGA  - M ,FDD",152,4.31% 3.29%,,,,,,
,,,102,,2.89%,"3,529","4,624",76%
,,"01090134 ,PEMBA CONSTITUENCY",,,,,,
WARD: 000109010001 KASIYA,,,,,,,,
"WALUBITA OBRIAN  - M ,UPND","1,778",88.15% 63.41%,,,,,,
"MWEEMBA PATRICK  - M ,PF",165,8.18% 5.88%,,,,,,
"MTONGA MUMBA  - M ,FDD",8,0.40% 0.29%,,,,,,
,,,66,,3.27%,"2,017","2,804",72%
WARD: 000109010002 PEMBA,,,,,,,,
"DYOLOLO PETER  - M ,UPND","1,523",82.32% 54.82%,,,,,,
"MULONGO ZIA M - M ,FDD",282,15.24% 10.15%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,45,,2.43%,"1,850","2,778",67%
WARD: 000109010004 NACHIBANGA,,,,,,,,
"NDILA DOUGLAS  - M ,UPND","1,593",74.34% 55.76%,,,,,,
"MICHELO PELLING  - M ,IND",390,18.20% 13.65%,,,,,,
"HAMATULI TRUST  - M ,FDD",102,4.76% 3.57%,,,,,,
,,,58,,2.71%,"2,143","2,857",75%
WARD: 000109010006 KASIKILI,,,,,,,,
"NG'ANDU JEANS  - M ,UPND","2,093",95.48% 73.41%,,,,,,
"CHIKALE CLECIOUS  - M ,PF",36,1.64% 1.26%,,,,,,
,,,63,,2.87%,"2,192","2,851",77%
WARD: 000109010008 KAUBA,,,,,,,,
"NG'ANDU MABVUTO  - M ,UPND","2,215",85.16% 68.90%,,,,,,
"HATYOKA PHANUEL  - M ,PF",308,11.84% 9.58%,,,,,,
,,,78,,3.00%,"2,601","3,215",81%
WARD: 000109010009 DOBO,,,,,,,,
"MWIINGA VINCENT  - M ,UPND","2,161",87.60% 72.96%,,,,,,
"MWAANA HOSEA  - M ,PF",245,9.93% 8.27%,,,,,,
,,,61,,2.47%,"2,467","2,962",83%
WARD: 000109010010 HABUNKULULU,,,,,,,,
"SHABA BERNARD  - M ,UPND","1,553",50.03% 38.84%,,,,,,
"BUUMBA MWEENE  - M ,IND","1,179",37.98% 29.49%,,,,,,
"HAMUKULA DOMINIC  - M ,PF",191,6.15% 4.78%,,,,,,
,,,181,,5.83%,"3,104","3,998",78%
,,"01090135 ,SIAVONGA CONSTITUENCY",,,,,,
WARD: 000109011001 NANYANGA,,,,,,,,
"SIMWIINDE LEONARD  - M ,UPND",698,60.12% 48.57%,,,,,,
"CHIDAKWA CUNNINGHAM  - M ,IND",407,35.06% 28.32%,,,,,,
,,,56,,4.82%,"1,161","1,437",81%
WARD: 000109011002 KARIBA,,,,,,,,
"KACHELO PHALLEN  - M ,UPND","4,150",63.95% 42.26%,,,,,,
"CHINGWELE EMMANUEL  - M ,PF","1,038",16.00% 10.57%,,,,,,
"HAKABALE PEARSON  - M ,IND",988,15.23% 10.06%,,,,,,
,,,313,,4.82%,"6,489","9,819",66%
